Area_Name,B01001_001E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B01002_001E,B08006_015E,B08011_006E,B08011_007E,B08011_008E,B08011_009E,B08011_010E,B11001_002E,B15003_017E,B15003_022E,B15003_023E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19013_001E,B23022_003E,B23022_027E,B25008_003E,B25031_001E,B25077_001E,county,county subdivision,place,state,stateName,locationsName,lat,long
Brownsville borough,2181,46,60,111,43,90,59,72,62,33,16,20,7,18,42,10,66,86,97,48,54,114,80,25,58,22,33,52,17,32,16,38.9,48,63,90,77,98,44,504,630,175,72,91,66,77,41,17,12,0,28548,510,497,966,544,58200,51,9432,0,42,Pennsylvania,"Brownsville borough, Pennsylvania, USA",40.0236854,-79.8839357
Jackson township,1044,10,27,13,35,26,48,45,1,27,27,5,25,20,5,3,27,40,28,27,19,43,56,10,23,0,27,49,36,18,4,44.6,2,47,80,68,27,12,292,204,98,22,52,47,35,44,3,25,5,52083,268,256,168,707,112500,111,34825,0,20,Kansas,"Jackson township, Kansas, USA",39.0326975,-96.5569882
Dinosaur town,315,30,21,20,2,5,13,2,12,0,0,9,4,2,1,0,4,12,2,2,8,8,1,8,17,6,7,4,0,2,6,31,0,8,32,5,7,0,71,105,22,0,6,20,20,3,0,4,0,36875,89,40,69,821,101900,0,0,20495,8,Colorado,"Dinosaur town, Colorado, USA",40.243578,-109.0145613
Hobgood town,353,13,13,7,4,17,22,19,6,7,7,10,4,5,1,2,4,12,16,5,23,11,11,5,4,4,8,3,12,4,15,48.5,0,10,8,8,17,0,105,87,37,1,6,9,18,4,0,1,0,32708,62,60,147,748,59000,0,0,31860,37,North Carolina,"Hobgood town, North Carolina, USA",36.0298788,-77.3977461
Marceline city,2107,40,53,100,56,37,75,56,36,38,24,10,43,41,21,4,62,90,38,40,54,82,85,43,16,29,18,49,62,35,16,36.7,38,68,145,200,72,39,534,499,130,50,57,88,140,21,15,17,14,39597,532,471,494,486,60800,0,0,45866,29,Missouri,"Marceline city, Missouri, USA",39.7119703,-92.9482526
Dennis Acres village,21,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,2,41.8,2,1,0,4,2,0,4,5,1,0,0,0,0,0,0,0,0,28125,6,4,13,900,-666666666,0,0,19090,29,Missouri,"Dennis Acres village, Missouri, USA",37.0467281,-94.5055021
La Salle city,69,7,0,2,7,3,4,2,1,0,1,0,0,0,0,0,6,4,2,1,1,3,0,1,0,0,1,0,0,1,0,29.9,3,8,14,5,4,0,16,23,2,2,1,2,4,3,0,5,0,48750,27,17,2,-666666666,53100,165,35702,0,27,Minnesota,"La Salle city, Minnesota, USA",44.0707924,-94.5696935
Almont village,2748,129,17,89,113,99,120,73,24,54,29,17,45,18,47,13,86,55,75,133,124,138,90,58,42,34,80,47,28,26,14,42.2,11,52,205,54,137,81,736,697,174,75,80,165,116,112,43,25,20,51750,708,661,403,736,139300,0,0,1660,26,Michigan,"Almont village, Michigan, USA",42.9205842,-83.0449347
Hudson township,138,0,6,0,9,5,11,11,0,0,0,0,0,0,0,0,0,0,11,10,35,0,0,0,0,0,0,0,0,0,0,43.8,0,0,5,17,0,0,58,36,36,0,6,6,42,0,10,0,0,98226,47,54,30,-666666666,117900,21,39220,0,38,North Dakota,"Hudson township, North Dakota, USA",46.088431,-98.1876745
Cantrall village,135,1,0,6,8,4,7,8,4,2,0,2,2,0,3,2,1,0,8,7,6,5,5,1,1,1,1,1,0,6,1,43.4,0,7,18,15,1,0,39,21,24,4,3,5,9,4,4,6,5,78750,42,36,6,-666666666,142500,0,0,11033,17,Illinois,"Cantrall village, Illinois, USA",39.9378273,-89.6759372
Orland town,2152,31,26,65,50,59,180,129,15,59,48,83,64,23,9,10,41,23,77,73,84,121,106,34,55,65,43,33,28,15,54,51.5,26,96,158,109,109,38,614,604,209,111,137,96,185,79,35,12,12,55571,610,535,335,838,182100,9,55505,0,23,Maine,"Orland town, Maine, USA",44.5706252,-68.7378128
